Año,	mayen,,monterrey,,norway,,oxford,,sydney,,
2008,	28/07/2008,11.00,23/05/2008,41.40,30/06/2008,24.50,dd/07/2008,22.00,dd/10/2008,35.03,
2009,	18/07/2009,11.50,27/02/2009,39.80,25/07/2009,26.20,dd/08/2009,22.70,dd/01/2009,40.92,
2010,	27/07/2010,9.70,05/06/2010,38.80,07/08/2010,26.00,dd/07/2010,23.90,dd/01/2010,41.32,
2011,	10/08/2011,12.20,26/04/2011,42.60,09/07/2011,31.00,dd/07/2011,21.40,dd/02/2011,41.55,
2012,	25/06/2012,12.70,24/05/2012,41.20,05/07/2012,22.20,dd/08/2012,21.80,dd/10/2012,34.25,
